,State,Model Name,Mean_Similarity,Count_Similarity,rank
1682,New York,FH_JCB_PRM,0.7536294117647059,17,1.0
113,American Samoa,FH_IowaStateLW_STEM,1.0,40,1.0
1831,Northern Mariana Islands,FH_JHU_CSSE_DECOM,0.38364464285714284,56,1.0
110,American Samoa,FH_DDS_NBDS,1.0,34,1.0
108,American Samoa,FH_Covid19Sim_Simulator,1.0,52,1.0
1267,Minnesota,SIkJaun10_window_noval,0.7141354838709678,31,1.0
1874,Ohio,FH_DDS_NBDS,0.5015176470588235,34,1.0
104,American Samoa,FH_CU_scenario_high,1.0,40,1.0
1218,Michigan,SIkJaun10_window_noval,0.6742677419354839,31,1.0
99,American Samoa,FH_CEID_Walk,1.0,60,1.0
1927,Oklahoma,FH_JCB_PRM,0.7930235294117648,17,1.0
1175,Massachusetts,ensemble_SIkJa_RF,0.7928633333333334,30,1.0
114,American Samoa,FH_JCB_PRM,1.0,17,1.0
1962,Oregon,FH_COVIDhub_4_week_ensemble,0.6649769230769231,13,1.0
212,Arkansas,FH_JCB_PRM,0.6912705882352941,17,1.0
2027,Pennsylvania,FH_JHU_CSSE_DECOM,0.4896214285714286,56,1.0
1045,Maine,FH_JCB_PRM,0.7619823529411764,17,1.0
2060,Puerto Rico,FH_COVIDhub_4_week_ensemble,0.4670692307692308,13,1.0
2107,Rhode Island,FH_BPagano_RtDriven,0.4161372881355932,59,1.0
982,Louisiana,FH_COVIDhub_4_week_ensemble,0.6676153846153846,13,1.0
977,Kentucky,UMich_RidgeTfReg,0.7510785714285715,14,1.0
70,Alaska,FH_KITmetricslab_select_ensemble,0.7016851851851852,27,1.0
2172,South Carolina,FH_JCB_PRM,0.7974294117647059,17,1.0
923,Kansas,SIkJaun10_hyper7_smooth7,0.5987645161290323,31,1.0
2246,South Dakota,SIkJaun10_hyper7_smooth7,0.720616129032258,31,1.0
1096,Maryland,FH_JHU_CSSE_DECOM,0.4882625,56,1.0
117,American Samoa,FH_JHU_IDD_CovidSP,1.0,63,1.0
1276,Mississippi,FH_COVIDhub_4_week_ensemble,0.7016307692307693,13,1.0
121,American Samoa,FH_LANL_GrowthRate,1.0,63,1.0
1512,Nevada,SIkJaun10_window_noval,0.7726774193548387,31,1.0
1584,New Jersey,FH_JCB_PRM,0.4581294117647059,17,1.0
1648,New Mexico,FH_OneQuietNight_ML,0.6122375,16,1.0
1462,Nebraska,SIkJaun10_hyper7_smooth7,0.6061354838709677,31,1.0
1413,Montana,SIkJaun10_hyper7_smooth7,0.8491290322580646,31,1.0
178,Arizona,FH_OneQuietNight_ML,0.74855,16,1.0
146,American Samoa,ensemble_SIkJa_RF,1.0,30,1.0
144,American Samoa,UMich_RidgeTfReg,1.0,14,1.0
143,American Samoa,SIkJaun1_window_noval,1.0,31,1.0
142,American Samoa,SIkJaun1_hyper7_smooth7,1.0,31,1.0
141,American Samoa,SIkJaun1_hyper7,1.0,31,1.0
140,American Samoa,SIkJaun10_window_noval,1.0,31,1.0
139,American Samoa,SIkJaun10_hyper7_smooth7,1.0,31,1.0
138,American Samoa,SIkJaun10_hyper7,1.0,31,1.0
136,American Samoa,FH_USACE_ERDC_SEIR,1.0,18,1.0
1366,Missouri,SIkJaun1_hyper7,0.5668451612903226,31,1.0
134,American Samoa,FH_UCSB_ACTS,1.0,12,1.0
133,American Samoa,FH_UCLA_SuEIR,1.0,49,1.0
1746,North Carolina,FH_OneQuietNight_ML,0.7737437500000001,16,1.0
131,American Samoa,FH_SigSci_TS,1.0,11,1.0
129,American Samoa,FH_OneQuietNight_ML,1.0,16,1.0
128,American Samoa,FH_OliverWyman_Navigator,1.0,50,1.0
127,American Samoa,FH_Microsoft_DeepSTIA,1.0,47,1.0
1766,North Dakota,FH_COVIDhub_4_week_ensemble,0.8288230769230769,13,1.0
122,American Samoa,FH_LNQ_ens1,1.0,46,1.0
877,Iowa,SIkJaun1_hyper7_smooth7,0.47084516129032256,31,1.0
2256,Tennessee,FH_COVIDhub_4_week_ensemble,0.5399076923076923,13,1.0
1550,New Hampshire,FH_OneQuietNight_ML,0.53475625,16,1.0
2501,Virgin Islands,FH_COVIDhub_4_week_ensemble,0.6092692307692308,13,1.0
688,Idaho,FH_COVIDhub_4_week_ensemble,0.8943538461538462,13,1.0
2624,Washington,FH_SigSci_TS,0.6997181818181818,11,1.0
477,District of Columbia,FH_UCSB_ACTS,0.49370833333333336,12,1.0
2434,Utah,FH_SigSci_TS,0.9319727272727273,11,1.0
2688,West Virginia,ensemble_SIkJa_RF,0.7955133333333334,30,1.0
2730,Wisconsin,SIkJaun10_hyper7_smooth7,0.5366225806451613,31,1.0
776,Illinois,SIkJaun10_hyper7_smooth7,0.732125806451613,31,1.0
2383,United States,FH_OneQuietNight_ML,0.61925,16,1.0
408,Delaware,FH_JCB_PRM,0.6097823529411766,17,1.0
276,California,FH_OneQuietNight_ML,0.85534375,16,1.0
2573,Virginia,FH_OneQuietNight_ML,0.77699375,16,1.0
371,Connecticut,FH_MUNI_ARIMA,0.5901827586206897,29,1.0
538,Florida,ensemble_SIkJa_RF,0.6975633333333333,30,1.0
2740,Wyoming,FH_COVIDhub_4_week_ensemble,0.9875923076923077,13,1.0
2467,Vermont,FH_JHUAPL_Bucky,0.5877015625,64,1.0
619,Guam,FH_OneQuietNight_ML,0.8677,16,1.0
4,Alabama,FH_COVIDhub_trained_ensemble,0.4980866666666667,30,1.0
336,Colorado,SIkJaun10_window_noval,0.6197774193548388,31,1.0
825,Indiana,SIkJaun10_hyper7_smooth7,0.7018064516129032,31,1.0
572,Georgia,FH_SigSci_TS,0.9523272727272727,11,1.0
653,Hawaii,FH_JCB_PRM,0.7521117647058824,17,1.0
2307,Texas,FH_COVIDhub_trained_ensemble,0.64756,30,1.0
195,Arizona,ensemble_SIkJa_RF,0.6979566666666667,30,2.0
125,American Samoa,FH_MOBS_GLEAM_COVID,0.9993717948717948,39,2.0
278,California,FH_SigSci_TS,0.7969818181818181,11,2.0
2539,Virgin Islands,UMich_RidgeTfReg,0.2898714285714286,14,2.0
1809,North Dakota,SIkJaun1_window_noval,0.8090096774193548,31,2.0
27,Alabama,FH_MOBS_GLEAM_COVID,0.497248717948718,39,2.0
1322,Mississippi,ensemble_SIkJa_RF,0.6944833333333332,30,2.0
2578,Virginia,FH_UCSB_ACTS,0.5465916666666667,12,2.0
1268,Minnesota,SIkJaun1_hyper7,0.6387193548387097,31,2.0
1364,Missouri,SIkJaun10_hyper7_smooth7,0.5535354838709677,31,2.0
1574,New Jersey,FH_CU_scenario_high,0.436975,40,2.0
345,Connecticut,FH_COVIDhub_4_week_ensemble,0.5015461538461539,13,2.0
1501,Nevada,FH_OneQuietNight_ML,0.6752875,16,2.0
1463,Nebraska,SIkJaun10_window_noval,0.5766129032258065,31,2.0
1658,New Mexico,SIkJaun10_hyper7_smooth7,0.5749290322580646,31,2.0
335,Colorado,SIkJaun10_hyper7_smooth7,0.4997354838709677,31,2.0
2759,Wyoming,FH_KITmetricslab_select_ensemble,0.7322111111111111,27,2.0
1374,Montana,FH_COVIDhub_4_week_ensemble,0.845276923076923,13,2.0
1714,New York,ensemble_SIkJa_RF,0.64632,30,2.0
2732,Wisconsin,SIkJaun1_hyper7,0.483041935483871,31,2.0
2683,West Virginia,SIkJaun1_hyper7,0.5297032258064516,31,2.0
440,Delaware,ensemble_SIkJa_RF,0.5078633333333333,30,2.0
585,Georgia,UMich_RidgeTfReg,0.7840214285714285,14,2.0
462,District of Columbia,FH_KITmetricslab_select_ensemble,0.4782925925925926,27,2.0
506,Florida,FH_JCB_PRM,0.6819235294117647,17,2.0
2593,Washington,FH_COVIDhub_4_week_ensemble,0.6583307692307693,13,2.0
1731,North Carolina,FH_JCB_PRM,0.5853647058823529,17,2.0
2059,Puerto Rico,FH_CEID_Walk,0.463055,60,2.0
703,Idaho,FH_JHUAPL_Bucky,0.631340625,64,2.0
2143,Rhode Island,FH_UCSB_ACTS,0.40326666666666666,12,2.0
972,Kentucky,SIkJaun10_hyper7_smooth7,0.7222935483870968,31,2.0
2331,Texas,FH_MUNI_ARIMA,0.6308310344827587,29,2.0
1535,New Hampshire,FH_JCB_PRM,0.5159,17,2.0
1849,Northern Mariana Islands,FH_UCSB_ACTS,0.268025,12,2.0
216,Arkansas,FH_JHU_UNC_GAS_StatMechPool,0.5879489795918368,49,2.0
1077,Maine,ensemble_SIkJa_RF,0.64422,30,2.0
2025,Pennsylvania,FH_JCB_PRM,0.4816235294117647,17,2.0
1094,Maryland,FH_JCB_PRM,0.45551176470588234,17,2.0
2407,Utah,FH_CU_scenario_high,0.48534749999999993,40,2.0
1988,Oregon,FH_MUNI_ARIMA,0.5157448275862069,29,2.0
2183,South Carolina,FH_MOBS_GLEAM_COVID,0.7630974358974358,39,2.0
926,Kansas,SIkJaun1_hyper7_smooth7,0.5846322580645161,31,2.0
2372,United States,FH_JHU_UNC_GAS_StatMechPool,0.5640306122448979,49,2.0
93,Alaska,SIkJaun1_hyper7_smooth7,0.5912516129032258,31,2.0
780,Illinois,SIkJaun1_window_noval,0.6399870967741935,31,2.0
999,Louisiana,FH_JHU_IDD_CovidSP,0.5414126984126985,63,2.0
1932,Oklahoma,FH_KITmetricslab_select_ensemble,0.5557555555555556,27,2.0
2247,South Dakota,SIkJaun10_window_noval,0.7165064516129033,31,2.0
639,Hawaii,FH_COVIDhub_4_week_ensemble,0.6894384615384616,13,2.0
874,Iowa,SIkJaun10_hyper7_smooth7,0.4145354838709677,31,2.0
2259,Tennessee,FH_CU_nochange,0.5289964912280701,57,2.0
1904,Ohio,SIkJaun10_window_noval,0.4654129032258064,31,2.0
2498,Vermont,ensemble_SIkJa_RF,0.5663733333333333,30,2.0
1143,Massachusetts,FH_JCB_PRM,0.7583,17,2.0
827,Indiana,SIkJaun1_hyper7,0.602141935483871,31,2.0
1198,Michigan,FH_Karlen_pypm,0.5419929577464789,71,2.0
624,Guam,FH_UCSB_ACTS,0.7771916666666666,12,2.0
365,Connecticut,FH_Karlen_pypm,0.48942253521126766,71,3.0
1510,Nevada,SIkJaun10_hyper7,0.6147290322580645,31,3.0
910,Kansas,FH_MUNI_ARIMA,0.5093172413793103,29,3.0
1466,Nebraska,SIkJaun1_window_noval,0.5235129032258065,31,3.0
778,Illinois,SIkJaun1_hyper7,0.6334064516129032,31,3.0
958,Kentucky,FH_MOBS_GLEAM_COVID,0.5833717948717949,39,3.0
590,Guam,FH_COVIDhub_4_week_ensemble,0.7195384615384615,13,3.0
434,Delaware,SIkJaun10_window_noval,0.4888096774193548,31,3.0
829,Indiana,SIkJaun1_window_noval,0.5973161290322581,31,3.0
269,California,FH_LNQ_ens1,0.6045934782608695,46,3.0
1185,Michigan,FH_CU_select,0.5315215384615385,65,3.0
1270,Minnesota,SIkJaun1_window_noval,0.5857709677419355,31,3.0
570,Georgia,FH_OneQuietNight_ML,0.70491875,16,3.0
1274,Mississippi,FH_BPagano_RtDriven,0.6566559322033898,59,3.0
188,Arizona,SIkJaun10_hyper7_smooth7,0.5263451612903226,31,3.0
225,Arkansas,FH_Microsoft_DeepSTIA,0.5594765957446809,47,3.0
1169,Massachusetts,SIkJaun10_window_noval,0.5377774193548387,31,3.0
1329,Missouri,FH_CU_scenario_high,0.5211574999999999,40,3.0
685,Hawaii,ensemble_SIkJa_RF,0.5332533333333334,30,3.0
494,Florida,FH_COVIDhub_trained_ensemble,0.49216333333333334,30,3.0
459,District of Columbia,FH_JHU_CSSE_DECOM,0.4585910714285714,56,3.0
707,Idaho,FH_KITmetricslab_select_ensemble,0.6188962962962963,27,3.0
1041,Maine,FH_DDS_NBDS,0.47906176470588235,34,3.0
1028,Louisiana,ensemble_SIkJa_RF,0.47664666666666666,30,3.0
1125,Maryland,USC_SI_kJalpha,0.44740810810810816,74,3.0
855,Iowa,FH_Karlen_pypm,0.4007338028169014,71,3.0
1393,Montana,FH_KITmetricslab_select_ensemble,0.7453925925925925,27,3.0
2187,South Carolina,FH_OneQuietNight_ML,0.7159187499999999,16,3.0
1902,Ohio,SIkJaun10_hyper7,0.4626290322580645,31,3.0
1931,Oklahoma,FH_JHU_UNC_GAS_StatMechPool,0.554465306122449,49,3.0
1985,Oregon,FH_MIT_Cassandra,0.46912857142857145,28,3.0
90,Alaska,SIkJaun10_hyper7_smooth7,0.5764838709677419,31,3.0
2054,Pennsylvania,SIkJaun1_window_noval,0.4713612903225806,31,3.0
2089,Puerto Rico,FH_OneQuietNight_ML,0.3468125,16,3.0
2135,Rhode Island,FH_MUNI_ARIMA,0.38693793103448276,29,3.0
1543,New Hampshire,FH_LNQ_ens1,0.4971891304347826,46,3.0
2248,South Dakota,SIkJaun1_hyper7,0.6353129032258065,31,3.0
2271,Tennessee,FH_JHUAPL_Bucky,0.5193,64,3.0
2303,Texas,FH_BPagano_RtDriven,0.5815084745762712,59,3.0
2400,United States,ensemble_SIkJa_RF,0.5547133333333334,30,3.0
2405,Utah,FH_COVIDhub_trained_ensemble,0.47302,30,3.0
2486,Vermont,FH_UCSB_ACTS,0.48419999999999996,12,3.0
2530,Virgin Islands,FH_OneQuietNight_ML,0.26894375,16,3.0
29,Alabama,FH_Microsoft_DeepSTIA,0.4815936170212766,47,3.0
2571,Virginia,FH_Microsoft_DeepSTIA,0.5092723404255319,47,3.0
2631,Washington,SIkJaun10_hyper7,0.5330709677419355,31,3.0
2658,West Virginia,FH_JHU_CSSE_DECOM,0.5246553571428572,56,3.0
2733,Wisconsin,SIkJaun1_hyper7_smooth7,0.4182258064516129,31,3.0
2779,Wyoming,SIkJaun10_hyper7_smooth7,0.6023870967741936,31,3.0
1829,Northern Mariana Islands,FH_JCB_PRM,0.2575823529411765,17,3.0
1807,North Dakota,SIkJaun1_hyper7,0.8088580645161291,31,3.0
334,Colorado,SIkJaun10_hyper7,0.48891612903225806,31,3.0
1589,New Jersey,FH_KITmetricslab_select_ensemble,0.43081851851851855,27,3.0
130,American Samoa,FH_RobertWalraven_ESG,0.973422972972973,74,3.0
1743,North Carolina,FH_MUNI_ARIMA,0.5712344827586207,29,3.0
1663,New Mexico,UMich_RidgeTfReg,0.5185714285714286,14,3.0
1697,New York,FH_OneQuietNight_ML,0.62468125,16,3.0
240,Arkansas,SIkJaun1_hyper7_smooth7,0.5540806451612903,31,4.0
2285,Tennessee,FH_OneQuietNight_ML,0.49929375,16,4.0
1414,Montana,SIkJaun10_window_noval,0.6710483870967743,31,4.0
2250,South Dakota,SIkJaun1_window_noval,0.618758064516129,31,4.0
245,California,FH_BPagano_RtDriven,0.5358457627118643,59,4.0
925,Kansas,SIkJaun1_hyper7,0.4843387096774194,31,4.0
1702,New York,FH_UCSB_ACTS,0.5067083333333333,12,4.0
2182,South Carolina,FH_MIT_ISOLAT_Mixtures,0.6400948717948718,39,4.0
2633,Washington,SIkJaun10_window_noval,0.45152258064516126,31,4.0
975,Kentucky,SIkJaun1_hyper7_smooth7,0.5790193548387097,31,4.0
592,Guam,FH_COVIDhub_trained_ensemble,0.5594,30,4.0
847,Iowa,FH_IEM_MED_CovidProject,0.3895346153846154,52,4.0
1511,Nevada,SIkJaun10_hyper7_smooth7,0.5769677419354838,31,4.0
531,Florida,SIkJaun10_hyper7_smooth7,0.4897903225806452,31,4.0
26,Alabama,FH_MIT_ISOLAT_Mixtures,0.4646512820512821,39,4.0
826,Indiana,SIkJaun10_window_noval,0.5647387096774195,31,4.0
2310,Texas,FH_CU_scenario_low,0.571519298245614,57,4.0
567,Georgia,FH_MUNI_ARIMA,0.5885172413793104,29,4.0
51,Alaska,FH_COVIDhub_4_week_ensemble,0.5534153846153846,13,4.0
777,Illinois,SIkJaun10_window_noval,0.6225870967741935,31,4.0
2547,Virginia,FH_CU_nochange,0.4998105263157895,57,4.0
2396,United States,SIkJaun1_hyper7_smooth7,0.5283516129032259,31,4.0
691,Idaho,FH_CU_nochange,0.5900964912280702,57,4.0
1641,New Mexico,FH_LNQ_ens1,0.5162891304347825,46,4.0
2422,Utah,FH_KITmetricslab_select_ensemble,0.3895111111111111,27,4.0
2527,Virgin Islands,FH_MUNI_ARIMA,0.25936896551724137,29,4.0
661,Hawaii,FH_LNQ_ens1,0.5108434782608695,46,4.0
2471,Vermont,FH_KITmetricslab_select_ensemble,0.3980851851851852,27,4.0
980,Louisiana,FH_BPagano_RtDriven,0.4707169491525424,59,4.0
2108,Rhode Island,FH_CEID_Walk,0.3187683333333334,60,4.0
465,District of Columbia,FH_LNQ_ens1,0.41363695652173915,46,4.0
1464,Nebraska,SIkJaun1_hyper7,0.47138709677419355,31,4.0
1880,Ohio,FH_JHU_CSSE_DECOM,0.4535589285714286,56,4.0
2778,Wyoming,SIkJaun10_hyper7,0.6001548387096775,31,4.0
1748,North Carolina,FH_SigSci_TS,0.49455454545454547,11,4.0
109,American Samoa,FH_CovidAnalytics_DELPHI,0.9726847222222221,72,4.0
1183,Michigan,FH_CU_scenario_low,0.5310421052631579,57,4.0
359,Connecticut,FH_JCB_PRM,0.4556,17,4.0
1577,New Jersey,FH_CU_select,0.4197123076923077,65,4.0
1151,Massachusetts,FH_LNQ_ens1,0.5361608695652174,46,4.0
1942,Oklahoma,FH_OneQuietNight_ML,0.55305,16,4.0
1269,Minnesota,SIkJaun1_hyper7_smooth7,0.580041935483871,31,4.0
340,Colorado,UMich_RidgeTfReg,0.4712428571428572,14,4.0
1998,Oregon,FH_USACE_ERDC_SEIR,0.4566666666666667,18,4.0
2731,Wisconsin,SIkJaun10_window_noval,0.4072677419354839,31,4.0
192,Arizona,SIkJaun1_window_noval,0.5250258064516129,31,4.0
1083,Maryland,FH_CU_nochange,0.43548947368421054,57,4.0
1808,North Dakota,SIkJaun1_hyper7_smooth7,0.682158064516129,31,4.0
2050,Pennsylvania,SIkJaun10_hyper7_smooth7,0.46300322580645165,31,4.0
1065,Maine,FH_UCSB_ACTS,0.47333333333333333,12,4.0
437,Delaware,SIkJaun1_window_noval,0.4744129032258064,31,4.0
1368,Missouri,SIkJaun1_window_noval,0.5176354838709678,31,4.0
2062,Puerto Rico,FH_COVIDhub_trained_ensemble,0.32958,30,4.0
2671,West Virginia,FH_OneQuietNight_ML,0.52124375,16,4.0
1307,Mississippi,FH_SigSci_TS,0.6128090909090909,11,4.0
1533,New Hampshire,FH_IEM_MED_CovidProject,0.47360576923076925,52,4.0
1848,Northern Mariana Islands,FH_UCLA_SuEIR,0.2243469387755102,49,4.0
339,Colorado,SIkJaun1_window_noval,0.431458064516129,31,5.0
1634,New Mexico,FH_JHUAPL_Bucky,0.45725625,64,5.0
2524,Virgin Islands,FH_MIT_Cassandra,0.23120000000000002,28,5.0
2649,West Virginia,FH_CU_select,0.5172707692307692,65,5.0
541,Georgia,FH_COVIDhub_4_week_ensemble,0.5374076923076923,13,5.0
2554,Virginia,FH_DDS_NBDS,0.4958205882352941,34,5.0
1515,Nevada,SIkJaun1_window_noval,0.5679322580645162,31,5.0
391,Connecticut,ensemble_SIkJa_RF,0.41541666666666666,30,5.0
413,Delaware,FH_KITmetricslab_select_ensemble,0.4736592592592593,27,5.0
2612,Washington,FH_KITmetricslab_select_ensemble,0.4212444444444444,27,5.0
2710,Wisconsin,FH_KITmetricslab_select_ensemble,0.3965074074074074,27,5.0
492,Florida,FH_COVIDhub_4_week_ensemble,0.48234615384615387,13,5.0
454,District of Columbia,FH_Google_Harvard_CPF,0.4015211538461539,52,5.0
1616,New Jersey,ensemble_SIkJa_RF,0.41029666666666664,30,5.0
2760,Wyoming,FH_Karlen_pypm,0.5397774647887323,71,5.0
1294,Mississippi,FH_JHU_UNC_GAS_StatMechPool,0.5982183673469388,49,5.0
635,Guam,USC_SI_kJalpha,0.4362513513513514,74,5.0
2101,Puerto Rico,SIkJaun1_hyper7,0.30279354838709677,31,5.0
1711,New York,SIkJaun1_window_noval,0.4519677419354839,31,5.0
1046,Maine,FH_JHUAPL_Bucky,0.445084375,64,5.0
2049,Pennsylvania,SIkJaun10_hyper7,0.45341935483870965,31,5.0
2000,Oregon,SIkJaun10_hyper7,0.4490064516129032,31,5.0
1367,Missouri,SIkJaun1_hyper7_smooth7,0.5149548387096774,31,5.0
984,Louisiana,FH_COVIDhub_trained_ensemble,0.4513,30,5.0
1120,Maryland,SIkJaun10_window_noval,0.4197,31,5.0
1937,Oklahoma,FH_MIT_ISOLAT_Mixtures,0.5171717948717949,39,5.0
1181,Michigan,FH_CU_nochange,0.5020385964912281,57,5.0
1882,Ohio,FH_JHU_UNC_GAS_StatMechPool,0.4191918367346939,49,5.0
1265,Minnesota,SIkJaun10_hyper7,0.5152064516129032,31,5.0
1751,North Carolina,FH_UCSB_ACTS,0.47123333333333334,12,5.0
1819,Northern Mariana Islands,FH_CU_scenario_high,0.2122375,40,5.0
1149,Massachusetts,FH_Karlen_pypm,0.5057661971830986,71,5.0
2496,Vermont,UMich_RidgeTfReg,0.3688857142857143,14,5.0
2129,Rhode Island,FH_Karlen_pypm,0.31011408450704225,71,5.0
2161,South Carolina,FH_CU_nochange,0.6061035087719298,57,5.0
2443,Utah,SIkJaun10_window_noval,0.37096451612903225,31,5.0
666,Hawaii,FH_Microsoft_DeepSTIA,0.4512574468085106,47,5.0
694,Idaho,FH_CU_scenario_mid,0.5689589285714286,56,5.0
775,Illinois,SIkJaun10_hyper7,0.578841935483871,31,5.0
2395,United States,SIkJaun1_hyper7,0.5201322580645161,31,5.0
2325,Texas,FH_Karlen_pypm,0.5626577464788732,71,5.0
1412,Montana,SIkJaun10_hyper7,0.6160645161290322,31,5.0
824,Indiana,SIkJaun10_hyper7,0.5512161290322581,31,5.0
1438,Nebraska,FH_JHUAPL_Bucky,0.4150875,64,5.0
2293,Tennessee,FH_UVA_Ensemble,0.4978980769230769,52,5.0
842,Iowa,FH_CU_select,0.3820015384615385,65,5.0
904,Kansas,FH_Karlen_pypm,0.4493352112676056,71,5.0
2245,South Dakota,SIkJaun10_hyper7,0.6141129032258065,31,5.0
948,Kentucky,FH_JHUAPL_Bucky,0.5439515625,64,5.0
1768,North Dakota,FH_COVIDhub_trained_ensemble,0.6497633333333332,30,5.0
1562,New Hampshire,SIkJaun1_hyper7,0.44105161290322575,31,5.0
0,Alabama,FH_BPagano_RtDriven,0.46128813559322035,59,5.0
69,Alaska,FH_JHU_UNC_GAS_StatMechPool,0.5207714285714286,49,5.0
251,California,FH_CU_scenario_high,0.5343924999999999,40,5.0
198,Arkansas,FH_COVIDhub_4_week_ensemble,0.5258538461538461,13,5.0
120,American Samoa,FH_Karlen_pypm,0.9722999999999999,71,5.0
163,Arizona,FH_JCB_PRM,0.5056352941176471,17,5.0
344,Connecticut,FH_CEID_Walk,0.34657666666666664,60,6.0
1332,Missouri,FH_CU_select,0.49393538461538466,65,6.0
1955,Oklahoma,SIkJaun1_hyper7_smooth7,0.5055774193548387,31,6.0
410,Delaware,FH_JHU_CSSE_DECOM,0.4265285714285714,56,6.0
779,Illinois,SIkJaun1_hyper7_smooth7,0.5645322580645161,31,6.0
1886,Ohio,FH_LNQ_ens1,0.41358913043478257,46,6.0
514,Florida,FH_LNQ_ens1,0.4638326086956522,46,6.0
2266,Tennessee,FH_DDS_NBDS,0.48457941176470587,34,6.0
2040,Pennsylvania,FH_OneQuietNight_ML,0.42930625,16,6.0
63,Alaska,FH_IEM_MED_CovidProject,0.5169538461538461,52,6.0
677,Hawaii,SIkJaun10_hyper7,0.4396709677419355,31,6.0
1987,Oregon,FH_MOBS_GLEAM_COVID,0.41840256410256405,39,6.0
1590,New Jersey,FH_Karlen_pypm,0.4037859154929578,71,6.0
2305,Texas,FH_COVIDhub_4_week_ensemble,0.5434538461538462,13,6.0
1717,North Carolina,FH_COVIDhub_4_week_ensemble,0.45088461538461544,13,6.0
2128,Rhode Island,FH_KITmetricslab_select_ensemble,0.2996407407407407,27,6.0
692,Idaho,FH_CU_scenario_high,0.5406425,40,6.0
293,California,ensemble_SIkJa_RF,0.52849,30,6.0
891,Kansas,FH_CU_select,0.4290723076923077,65,6.0
1009,Louisiana,FH_Microsoft_DeepSTIA,0.4511595744680851,47,6.0
2588,Virginia,UMich_RidgeTfReg,0.4762,14,6.0
1684,New York,FH_JHU_CSSE_DECOM,0.4445,56,6.0
1053,Maine,FH_LNQ_ens1,0.42052826086956524,46,6.0
1513,Nevada,SIkJaun1_hyper7,0.5471774193548387,31,6.0
107,American Samoa,FH_CU_select,0.9697430769230769,65,6.0
1437,Nebraska,FH_JCB_PRM,0.3911882352941176,17,6.0
1538,New Hampshire,FH_JHU_IDD_CovidSP,0.420684126984127,63,6.0
200,Arkansas,FH_COVIDhub_trained_ensemble,0.45102,30,6.0
591,Guam,FH_COVIDhub_ensemble,0.3933865671641791,67,6.0
9,Alabama,FH_CU_select,0.4570446153846154,65,6.0
839,Iowa,FH_CU_scenario_high,0.36827,40,6.0
2497,Vermont,USC_SI_kJalpha,0.3494310810810811,74,6.0
1239,Minnesota,FH_IEM_MED_CovidProject,0.4841423076923077,52,6.0
2378,United States,FH_MIT_ISOLAT_Mixtures,0.495848717948718,39,6.0
832,Indiana,ensemble_SIkJa_RF,0.5090466666666666,30,6.0
1079,Maryland,FH_CEID_Walk,0.39570833333333333,60,6.0
2184,South Carolina,FH_MUNI_ARIMA,0.5939896551724138,29,6.0
194,Arizona,USC_SI_kJalpha,0.4981175675675676,74,6.0
568,Georgia,FH_Microsoft_DeepSTIA,0.5316446808510639,47,6.0
2415,Utah,FH_IEM_MED_CovidProject,0.3671096153846154,52,6.0
2619,Washington,FH_MUNI_ARIMA,0.41500344827586205,29,6.0
2736,Wisconsin,USC_SI_kJalpha,0.3721,74,6.0
2249,South Dakota,SIkJaun1_hyper7_smooth7,0.5532548387096774,31,6.0
1817,Northern Mariana Islands,FH_COVIDhub_trained_ensemble,0.20109666666666665,30,6.0
455,District of Columbia,FH_IEM_MED_CovidProject,0.3954519230769231,52,6.0
2681,West Virginia,SIkJaun10_hyper7_smooth7,0.5153451612903226,31,6.0
2503,Virgin Islands,FH_COVIDhub_trained_ensemble,0.22449666666666665,30,6.0
1290,Mississippi,FH_JCB_PRM,0.583764705882353,17,6.0
2082,Puerto Rico,FH_LNQ_ens1,0.30095,46,6.0
1377,Montana,FH_CU_nochange,0.6120122807017544,57,6.0
2776,Wyoming,FH_USACE_ERDC_SEIR,0.52465,18,6.0
1659,New Mexico,SIkJaun10_window_noval,0.44911290322580644,31,6.0
1190,Michigan,FH_IEM_MED_CovidProject,0.49143846153846155,52,6.0
947,Kentucky,FH_JCB_PRM,0.49741176470588233,17,6.0
323,Colorado,FH_Microsoft_DeepSTIA,0.4011638297872341,47,6.0
1805,North Dakota,SIkJaun10_hyper7_smooth7,0.6169161290322581,31,6.0
1172,Massachusetts,SIkJaun1_window_noval,0.4983161290322581,31,6.0
1171,Massachusetts,SIkJaun1_hyper7_smooth7,0.4550483870967742,31,7.0
2511,Virgin Islands,FH_DDS_NBDS,0.2149970588235294,34,7.0
2609,Washington,FH_JHU_CSSE_DECOM,0.38507857142857144,56,7.0
706,Idaho,FH_JHU_UNC_GAS_StatMechPool,0.5331959183673469,49,7.0
964,Kentucky,FH_SigSci_TS,0.49720909090909093,11,7.0
1075,Maine,UMich_RidgeTfReg,0.41372857142857145,14,7.0
2125,Rhode Island,FH_JHU_CSSE_DECOM,0.28513392857142855,56,7.0
257,California,FH_DDS_NBDS,0.5176029411764707,34,7.0
2165,South Carolina,FH_CU_select,0.5413384615384615,65,7.0
2699,Wisconsin,FH_Covid19Sim_Simulator,0.3654346153846154,52,7.0
1416,Montana,SIkJaun1_hyper7_smooth7,0.6077096774193548,31,7.0
1925,Oklahoma,FH_IEM_MED_CovidProject,0.4731576923076923,52,7.0
2368,United States,FH_JCB_PRM,0.4471176470588235,17,7.0
